country_iso2,country_name,year,VAR_06_animal_rights_delta_risk,VAR_07_plant_protein_ratio_risk,VAR_08_public_concern_risk,VAR_09_civic_space_risk,VAR_10_civil_liberties_risk
NL,Netherlands,2016,-0.0,0.5957,26,0.3152,0.061
NL,Netherlands,2017,-0.0,0.5748,26,0.3152,0.056
NL,Netherlands,2018,-0.0,0.5894,26,0.2563,0.057
NL,Netherlands,2019,-0.0,0.593,26,0.27,0.064
NL,Netherlands,2020,0.003,0.5731,26,0.27,0.069
NL,Netherlands,2021,-0.006,0.572,26,0.2484,0.071
NL,Netherlands,2022,-0.019,0.5895,26,0.2748,0.073
NZ,New Zealand,2004,-0.0,0.5485,35,0.1616,0.037
NZ,New Zealand,2005,-0.0,0.547,35,0.1616,0.037
NZ,New Zealand,2006,-0.0,0.5456,35,0.1616,0.037
NZ,New Zealand,2007,-0.0,0.5441,35,0.1616,0.037
NZ,New Zealand,2008,-0.0,0.5427,35,0.1616,0.037
NZ,New Zealand,2009,-0.0,0.5412,35,0.1616,0.037
NZ,New Zealand,2010,-0.0,0.5398,35,0.1616,0.037
NZ,New Zealand,2011,-0.0,0.5416,35,0.1616,0.037
NZ,New Zealand,2012,-0.0,0.5459,35,0.1616,0.037
NZ,New Zealand,2013,-0.0,0.5354,35,0.1616,0.038
NZ,New Zealand,2014,-0.0,0.5412,35,0.1616,0.038
NZ,New Zealand,2015,-0.0,0.5489,35,0.1616,0.038
NZ,New Zealand,2016,-0.0,0.5453,35,0.1616,0.038
NZ,New Zealand,2017,-0.0,0.5553,35,0.2035,0.038
NZ,New Zealand,2018,-0.0,0.5466,35,0.2035,0.037
NZ,New Zealand,2019,-0.0,0.5226,35,0.2035,0.037
NZ,New Zealand,2020,-0.0,0.5387,35,0.2035,0.048
NZ,New Zealand,2021,-0.0,0.5612,35,0.1663,0.053
NZ,New Zealand,2022,-0.0,0.5551,35,0.2036,0.04
KR,South Korea,2004,-0.0,0.1627,69,0.2419,0.067
KR,South Korea,2005,-0.0,0.1661,69,0.2419,0.067
KR,South Korea,2006,-0.0,0.1696,69,0.2419,0.067
KR,South Korea,2007,-0.0,0.173,69,0.2419,0.068
KR,South Korea,2008,-0.033,0.1764,69,0.2532,0.103
KR,South Korea,2009,-0.0,0.1799,69,0.2532,0.104
KR,South Korea,2010,-0.0,0.1833,69,0.2532,0.103
KR,South Korea,2011,-0.0,0.1831,69,0.2532,0.103
KR,South Korea,2012,-0.0,0.1854,69,0.2532,0.103
KR,South Korea,2013,-0.0,0.1936,69,0.2689,0.114
KR,South Korea,2014,-0.0,0.1934,69,0.2689,0.119
KR,South Korea,2015,-0.0,0.1971,69,0.2689,0.114
KR,South Korea,2016,-0.0,0.2014,69,0.2689,0.114
KR,South Korea,2017,0.037,0.2008,69,0.255,0.068
KR,South Korea,2018,0.01,0.2067,69,0.2232,0.067
KR,South Korea,2019,0.008,0.2142,69,0.2859,0.074
KR,South Korea,2020,-0.0,0.2177,69,0.2859,0.075
KR,South Korea,2021,-0.0,0.2211,69,0.2859,0.069
KR,South Korea,2022,-0.031,0.2246,69,0.2641,0.087
ES,Spain,2004,-0.0,0.6675,48,0.1173,0.04
ES,Spain,2005,-0.0,0.6652,48,0.1173,0.04
ES,Spain,2006,-0.0,0.6629,48,0.1173,0.04
ES,Spain,2007,-0.0,0.6606,48,0.1173,0.041
ES,Spain,2008,-0.0,0.6583,48,0.1173,0.041
ES,Spain,2009,-0.0,0.656,48,0.1059,0.041
ES,Spain,2010,0.008,0.6537,48,0.1059,0.041
ES,Spain,2011,-0.0,0.6497,48,0.1059,0.04
ES,Spain,2012,-0.0,0.6471,48,0.1059,0.041
ES,Spain,2013,-0.0,0.6467,48,0.1374,0.043
ES,Spain,2014,-0.0,0.6479,48,0.1374,0.044
ES,Spain,2015,-0.0,0.6562,48,0.1374,0.051
ES,Spain,2016,-0.0,0.6477,48,0.1374,0.051
ES,Spain,2017,-0.0,0.6473,48,0.172,0.054
ES,Spain,2018,-0.0,0.6548,48,0.1633,0.051
ES,Spain,2019,-0.0,0.6693,48,0.1566,0.047
ES,Spain,2020,-0.0,0.6664,48,0.1422,0.058
ES,Spain,2021,-0.026,0.6629,48,0.1934,0.062
ES,Spain,2022,-0.0,0.6748,48,0.174,0.049
SE,Sweden,2004,-0.0,0.6675,22,0.0384,0.028
SE,Sweden,2005,-0.0,0.668,22,0.0384,0.028
SE,Sweden,2006,-0.0,0.6685,22,0.0384,0.025
SE,Sweden,2007,-0.0,0.669,22,0.0384,0.024
SE,Sweden,2008,-0.0,0.6695,22,0.0384,0.024
SE,Sweden,2009,-0.0,0.6699,22,0.0384,0.024
SE,Sweden,2010,-0.0,0.6704,22,0.0384,0.024
SE,Sweden,2011,-0.0,0.6769,22,0.0384,0.026
SE,Sweden,2012,-0.0,0.6712,22,0.0384,0.025
SE,Sweden,2013,-0.0,0.6719,22,0.0384,0.024
SE,Sweden,2014,-0.0,0.672,22,0.0384,0.024
SE,Sweden,2015,-0.0,0.673,22,0.0384,0.031
SE,Sweden,2016,-0.0,0.667,22,0.0384,0.031
SE,Sweden,2017,-0.0,0.6589,22,0.0384,0.033
SE,Sweden,2018,-0.0,0.6488,22,0.0384,0.036
SE,Sweden,2019,-0.0,0.6493,22,0.0384,0.036
SE,Sweden,2020,-0.0,0.652,22,0.0384,0.037
SE,Sweden,2021,-0.0,0.6426,22,0.0384,0.037
SE,Sweden,2022,0.005,0.6305,22,0.0938,0.036
GB,United Kingdom,2004,-0.0,0.5954,27,0.1249,0.064
GB,United Kingdom,2005,-0.0,0.5945,27,0.1249,0.064
GB,United Kingdom,2006,-0.0,0.5936,27,0.1249,0.063
GB,United Kingdom,2007,-0.0,0.5927,27,0.1249,0.063
GB,United Kingdom,2008,-0.0,0.5918,27,0.1249,0.063
GB,United Kingdom,2009,-0.0,0.591,27,0.1249,0.063
GB,United Kingdom,2010,-0.0,0.5901,27,0.1249,0.064
GB,United Kingdom,2011,-0.0,0.5902,27,0.1249,0.064
GB,United Kingdom,2012,-0.0,0.591,27,0.1249,0.073
GB,United Kingdom,2013,-0.0,0.5874,27,0.1249,0.093
GB,United Kingdom,2014,-0.0,0.5835,27,0.1249,0.094
GB,United Kingdom,2015,-0.0,0.5881,27,0.1249,0.094
GB,United Kingdom,2016,-0.0,0.5911,27,0.1249,0.094
GB,United Kingdom,2017,-0.0,0.5863,27,0.1249,0.089
GB,United Kingdom,2018,-0.0,0.5859,27,0.1249,0.081
GB,United Kingdom,2019,0.005,0.5896,27,0.1249,0.088
GB,United Kingdom,2020,-0.042,0.5825,27,0.1249,0.103
GB,United Kingdom,2021,-0.002,0.5962,27,0.1249,0.116
GB,United Kingdom,2022,0.013,0.5936,27,0.1249,0.111
US,United States,2004,-0.0,0.6822,35,0.0167,0.095
US,United States,2005,-0.0,0.6811,35,0.0167,0.078
US,United States,2006,-0.0,0.6799,35,0.0167,0.087
US,United States,2007,-0.0,0.6787,35,0.0167,0.078
US,United States,2008,-0.0,0.6776,35,0.0167,0.061
US,United States,2009,0.001,0.6764,35,0.0167,0.05
US,United States,2010,-0.0,0.6752,35,0.0167,0.048
US,United States,2011,-0.0,0.6756,35,0.0167,0.05
US,United States,2012,-0.0,0.6708,35,0.0167,0.05
US,United States,2013,-0.0,0.6717,35,0.0002,0.048
US,United States,2014,-0.0,0.6729,35,0.0002,0.048
US,United States,2015,-0.0,0.6762,35,0.0002,0.048
US,United States,2016,-0.002,0.6793,35,0.0002,0.051
US,United States,2017,-0.0,0.6811,35,-0.0057,0.059
US,United States,2018,-0.0,0.6838,35,0.0328,0.067
US,United States,2019,-0.0,0.6871,35,0.0328,0.073
US,United States,2020,0.002,0.678,35,0.0328,0.087
US,United States,2021,-0.016,0.6823,35,0.0207,0.063
US,United States,2022,-0.007,0.676,35,0.0207,0.058
AR,Argentina,2004,-0.008,0.5637,67,0.1656,0.083
AR,Argentina,2005,-0.003,0.571,67,0.1656,0.083
AR,Argentina,2006,-0.003,0.5783,67,0.1656,0.086
AR,Argentina,2007,-0.016,0.5856,67,0.1656,0.09
AR,Argentina,2008,-0.0,0.5928,67,0.1702,0.095
AR,Argentina,2009,-0.0,0.6001,67,0.1702,0.096
AR,Argentina,2010,-0.0,0.6074,67,0.2057,0.099
AR,Argentina,2011,-0.0,0.6135,67,0.2057,0.101
AR,Argentina,2012,-0.0,0.6308,67,0.2057,0.107
AR,Argentina,2013,-0.0,0.6293,67,0.1637,0.106
AR,Argentina,2014,-0.0,0.6325,67,0.1637,0.105
AR,Argentina,2015,0.01,0.6423,67,0.1637,0.121
AR,Argentina,2016,0.026,0.64,67,0.1288,0.108
AR,Argentina,2017,-0.0,0.6436,67,0.1288,0.125
AR,Argentina,2018,-0.0,0.6453,67,0.1027,0.109
AR,Argentina,2019,-0.0,0.6247,67,0.1027,0.126
AR,Argentina,2020,-0.027,0.6334,67,0.1517,0.114
AR,Argentina,2021,-0.0,0.6186,67,0.1517,0.128
AR,Argentina,2022,0.01,0.6138,67,0.1517,0.125
CN,China,2004,-0.0,0.3914,82,0.5692,0.702
CN,China,2005,-0.0,0.3927,82,0.6452,0.71
CN,China,2006,-0.0,0.3939,82,0.6452,0.71
CN,China,2007,-0.0,0.3951,82,0.6452,0.705
CN,China,2008,-0.0,0.3963,82,0.6385,0.708
CN,China,2009,-0.015,0.3975,82,0.6385,0.712
CN,China,2010,-0.0,0.3987,82,0.6448,0.713
CN,China,2011,0.012,0.393,82,0.6448,0.717
CN,China,2012,-0.0,0.3977,82,0.6466,0.718
CN,China,2013,-0.011,0.4024,82,0.7085,0.74
CN,China,2014,-0.0,0.4044,82,0.7085,0.756
CN,China,2015,-0.0,0.3994,82,0.7528,0.74
CN,China,2016,-0.0,0.3995,82,0.7702,0.75
CN,China,2017,-0.0,0.3947,82,0.7766,0.755
CN,China,2018,-0.0,0.3939,82,0.7923,0.78
CN,China,2019,-0.0,0.3988,82,0.8156,0.788
CN,China,2020,0.044,0.3904,82,0.8095,0.805
CN,China,2021,-0.047,0.4031,82,0.8105,0.807
CN,China,2022,0.119,0.4096,82,0.8492,0.825
DK,Denmark,2004,-0.0,0.5391,30,0.0093,0.031
DK,Denmark,2005,-0.0,0.546,30,0.0093,0.031
DK,Denmark,2006,-0.0,0.5529,30,0.0093,0.031
DK,Denmark,2007,-0.0,0.5599,30,0.0093,0.031
DK,Denmark,2008,-0.0,0.5668,30,0.0093,0.031
DK,Denmark,2009,-0.0,0.5737,30,0.0093,0.031
DK,Denmark,2010,-0.0,0.5806,30,0.0093,0.031
DK,Denmark,2011,-0.0,0.5915,30,0.0093,0.031
DK,Denmark,2012,-0.0,0.582,30,0.0093,0.03
DK,Denmark,2013,-0.0,0.6014,30,0.0093,0.037
DK,Denmark,2014,-0.0,0.5814,30,0.0093,0.037
DK,Denmark,2015,-0.0,0.5514,30,0.0093,0.032
DK,Denmark,2016,-0.0,0.5347,30,0.0093,0.033
DK,Denmark,2017,-0.0,0.5296,30,0.0093,0.033
DK,Denmark,2018,-0.0,0.5172,30,0.0093,0.039
DK,Denmark,2019,-0.0,0.524,30,0.0093,0.045
DK,Denmark,2020,-0.0,0.5388,30,0.0093,0.061
DK,Denmark,2021,-0.0,0.5724,30,0.0093,0.052
DK,Denmark,2022,-0.0,0.5707,30,0.0093,0.041
KE,Kenya,2004,-0.0,0.3659,78,0.2418,0.369
KE,Kenya,2005,-0.0,0.3564,78,0.2418,0.371
KE,Kenya,2006,-0.0,0.347,78,0.2417,0.373
KE,Kenya,2007,-0.0,0.3375,78,0.2417,0.398
KE,Kenya,2008,-0.0,0.3281,78,0.2417,0.376
KE,Kenya,2009,-0.0,0.3187,78,0.2417,0.364
KE,Kenya,2010,0.038,0.3092,78,0.2065,0.335
KE,Kenya,2011,-0.0,0.2942,78,0.2065,0.335
KE,Kenya,2012,-0.0,0.2782,78,0.2065,0.335
KE,Kenya,2013,-0.0,0.2809,78,0.2187,0.311
KE,Kenya,2014,-0.0,0.2704,78,0.222,0.313
KE,Kenya,2015,-0.0,0.2704,78,0.222,0.313
KE,Kenya,2016,-0.0,0.2906,78,0.2444,0.318
KE,Kenya,2017,-0.0,0.283,78,0.2376,0.358
KE,Kenya,2018,-0.0,0.2822,78,0.2679,0.337
KE,Kenya,2019,0.036,0.2568,78,0.2679,0.338
KE,Kenya,2020,-0.025,0.2552,78,0.2679,0.318
KE,Kenya,2021,0.036,0.2622,78,0.1915,0.27
KE,Kenya,2022,-0.038,0.2497,78,0.1626,0.26
MX,Mexico,2004,-0.0,0.5503,65,0.2986,0.287
MX,Mexico,2005,-0.0,0.5492,65,0.2986,0.287
MX,Mexico,2006,-0.008,0.5481,65,0.2986,0.315
MX,Mexico,2007,-0.0,0.547,65,0.3029,0.304
MX,Mexico,2008,-0.0,0.546,65,0.3029,0.307
MX,Mexico,2009,-0.0,0.5449,65,0.3029,0.305
MX,Mexico,2010,-0.0,0.5438,65,0.2911,0.316
MX,Mexico,2011,-0.0,0.5411,65,0.2911,0.314
